model,portfolio_type,size_quintile,factor_quintile,n_obs,alpha,t_alpha,p_alpha,r_squared,adj_r_squared,beta_MKT_RF,t_MKT_RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA,beta_MOM_8M,t_MOM_8M
FF5+MOM_8M,size_inv,2,5,11,-0.010246401247667875,-1.037520119780286,0.29949352397593776,0.9316014703034204,0.829003675758551,1.1461519010563732,11.26205137505778,0.3822548146360091,1.9373637339511707,0.053797211916865595,0.4091143054735454,0.022021642711379533,0.25686997400816886,-0.21245204524769434,-0.4033262310585251,-0.26614172993666163,-1.0556431390040415
FF5+MOM_8M,size_inv,3,1,11,0.007012008178216865,0.5608873050263156,0.5748743648325736,0.9536475626151552,0.8841189065378878,0.9723908525526139,9.19852347278075,-0.4762053340503034,-4.655699968773876,-0.3794192241194537,-1.9991383460770462,0.05533924302802565,0.6306658286379591,-1.3109746370783923,-6.074081424044189,-0.9047096267806297,-3.619688041167849
FF5+MOM_8M,size_inv,3,2,11,0.01262198924212135,1.408407623266953,0.15901040319039828,0.9190441562906928,0.797610390726732,1.084706891093811,13.409686240717871,-0.011687244231046279,-0.08303727456596215,0.11031828767022839,0.6022632469922393,0.20002395667020606,1.6784505793300006,-0.3769661783295023,-2.3411730126054775,0.6067890193171306,1.8702977684323965
FF5+MOM_8M,size_inv,3,3,11,-0.04663517511577864,-5.094397712194065,3.4985165697221976e-07,0.9079267865136419,0.7698169662841048,0.7056497680968378,9.292747566980246,-0.0171441414296854,-0.0854404054579614,-0.8454949537689491,-3.828951518686083,0.19092163973256765,2.2957690925000773,1.3544658794557933,2.766745252227601,-0.17990053915704118,-0.4345034258279475
FF5+MOM_8M,size_inv,3,4,11,0.008885368401927683,1.211505806793097,0.2257016105291304,0.9505807737136279,0.8764519342840698,1.2084770278041173,17.276142457873796,0.1366198029301216,1.1551054012873132,0.14920024248873787,2.5953321268309173,0.04124534559585033,0.7134776807819757,-0.456078878157548,-3.9126122118721094,0.11077320784127664,0.569791669857586
FF5+MOM_8M,size_inv,3,5,11,0.013966498330945487,2.8120732910432333,0.00492232860226311,0.9371596684834566,0.8428991712086413,1.211566571371805,14.527201747576935,-0.32282217714542516,-3.7051764745326548,0.6563635071637219,4.430927080534541,-0.017119286761880417,-0.19094570358956336,-1.574214332706944,-12.643175235623572,0.5184093531218853,1.899772012149215
FF5+MOM_8M,size_inv,4,1,11,0.013538803612230409,1.1486810444241304,0.2506875248989191,0.8800354954005425,0.7000887385013562,1.2608117231676321,7.042377430183367,-1.0533150093114,-7.399950047897067,0.19499407734052893,0.5715043593786854,-0.15796404010551082,-1.2109057384468704,0.18341351672413697,0.5135789863515431,0.4210750644113601,0.774791750388022
FF5+MOM_8M,size_inv,4,2,11,-0.029433660903820942,-28.734446887410858,1.4170643592378094e-181,0.9952509523301352,0.9881273808253379,0.8276427021904138,38.11180546970653,-0.5582393200508377,-12.623299677924706,-0.4591861762575223,-16.252148869129883,-0.14225133967629094,-5.811155038826289,0.1105297815755466,1.7437200873974685,-0.3070544376168751,-5.778958303178414
FF5+MOM_8M,size_inv,4,3,11,0.009059148315998081,0.7701367037922257,0.4412188056977888,0.9214995496368975,0.8037488740922438,1.1254131999022465,9.416770336109598,-0.5429046995039397,-2.342569859579797,-0.1854721999531267,-0.8054921675891855,0.09958469895110089,0.71347625228688,-1.566975101730702,-3.8945001286338132,0.8035631708555946,2.6183724292427293
FF5+MOM_8M,size_inv,4,4,11,0.009441354984085533,1.1242403929976883,0.26091105778443835,0.8782049768395137,0.6955124420987843,0.973030625500383,8.524739192389736,-0.6788647151589008,-7.999556892790017,0.08592327804058986,0.38208963565313364,0.1312437432077762,1.2834829300483837,-1.4944989490704776,-5.1528839191705424,0.5141089539390993,1.1616320065405858
FF5+MOM_8M,size_inv,4,5,11,-0.005899383787192326,-1.3491229113479626,0.17729749026078723,0.9680168909070921,0.9200422272677302,1.061291417039939,28.370098852139193,-0.24969673200821396,-1.3535475780710247,-0.26242300540789065,-2.818248449725138,-0.13220481497842262,-2.4617925773842875,-0.04467921352034021,-0.1354652688818983,-0.2610652840601754,-2.108005508676357
FF5+MOM_8M,size_inv,5,1,11,0.012626219245903444,1.0906379733225757,0.27543221354587666,0.8967826155640668,0.741956538910167,0.987975851806207,9.775306947466493,-0.6903266195898587,-1.9629347710588043,-0.2735123477670297,-1.342256749357739,0.6675237938963448,5.992458124260121,0.5665071428186002,0.9696297961253911,0.22026703742362597,1.0718168393276564
